"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"TheHive_zmWorkbench_Extension_CB_Script","","","","","","","","","","","","","",""
"STR_Slot_TH_CB_WoodenCase","Slot per Cassa di Legno","Wooden Crate Slot","Slot pro dřevěnou bednu","Steckplatz für Holzkiste","Слот для деревянного ящика","Miejsce na drewnianą skrzynię","Hely a faládának","Slot per Cassa di Legno","Ranura para caja de madera","Emplacement pour caisse en bois","木箱槽位","木箱用スロット","Espaço para caixa de madeira","木箱槽位"
"STR_Slot_TH_CB_Gas","Slot per Bombole di Propano","Propane Cylinder Slot","Slot pro propanovou láhev","Steckplatz für Propangasflasche","Слот для пропанового баллона","Miejsce na butlę z propanem","Hely a propánpalacknak","Slot per Bombole di Propano","Ranura para bombona de propano","Emplacement pour bouteille de propane","丙烷气瓶槽位","プロパンボンベ用スロット","Espaço para botija de propano","丙烷气瓶槽位"
"STR_Slot_TH_CB_FoodSupply","Slot per Scorte Alimentari SS.Brena","SS.Brena Food Supplies Slot","Slot pro potravinové zásoby SS.Brena","Steckplatz für SS.Brena-Lebensmittelvorräte","Слот для продовольственных запасов SS.Brena","Miejsce na zapasy żywności SS.Brena","Hely az SS.Brena élelmiszerkészleteinek","Slot per Scorte Alimentari SS.Brena","Ranura para suministros de alimentos SS.Brena","Emplacement pour provisions alimentaires SS.Brena","SS.Brena 食品补给槽位","SS.Brena食料備蓄用スロット","Espaço para suprimentos alimentares SS.Brena","SS.Brena 食品补给槽位"
"STR_Slot_TH_CB_CookEquipment","Slot per Equipaggiamenti da Cucina","Cooking Equipment Slot","Slot pro kuchyňské vybavení","Steckplatz für Kochausrüstung","Слот для кухонного оборудования","Miejsce na wyposażenie kuchenne","Hely a konyhai felszerelésnek","Slot per Equipaggiamenti da Cucina","Ranura para equipo de cocina","Emplacement pour équipement de cuisine","烹饪设备槽位","調理器具用スロット","Espaço para equipamento de cozinha","烹饪设备槽位"
"STR_Slot_TH_CB_Scale","Slot per Bilancia","Scale Slot","Slot pro váhu","Steckplatz für Waage","Слот для весов","Miejsce na wagę","Hely a mérlegnek","Slot per Bilancia","Ranura para báscula","Emplacement pour balance","秤槽位","はかり用スロット","Espaço para balança","秤槽位"
"STR_Slot_TH_CB_Still","Slot per Alambicco","Still Slot","Slot pro destilační přístroj","Steckplatz für Destillierapparat","Слот для дистиллятора","Miejsce na aparat destylacyjny","Hely a lepárlónak","Slot per Alambicco","Ranura para alambique","Emplacement pour alambic","蒸馏器槽位","蒸留器用スロット","Espaço para alambique","蒸馏器槽位"
"STR_Slot_TH_CB_Stove","Slot per Fornello a Gas","Gas Stove Slot","Slot pro plynový vařič","Steckplatz für Gaskocher","Слот для газовой горелки","Miejsce na kuchenkę gazową","Hely a gáztűzhelynek","Slot per Fornello a Gas","Ranura para hornillo de gas","Emplacement pour réchaud à gaz","燃气炉槽位","ガスコンロ用スロット","Espaço para fogareiro a gás","燃气炉槽位"
"STR_Slot_TH_CB_Ingredient","Slot per Ingredienti","Ingredients Slot","Slot pro ingredience","Steckplatz für Zutaten","Слот для ингредиентов","Miejsce na składniki","Hely az alapanyagoknak","Slot per Ingredienti","Ranura para ingredientes","Emplacement pour ingrédients","食材槽位","食材用スロット","Espaço para ingredientes","食材槽位"
"TH_CS_CB_Script","","","","","","","","","","","","","",""
"STR_TheHive_CS_LB_Bench_BASE","BASE: Banco Cucina","BASE: Kitchen Workbench","ZÁKLAD: Kuchyňský pracovní stůl","BASIS: Küchenwerkbank","БАЗА: Кухонный верстак","BAZA: Stół kuchenny","ALAP: Konyhai munkapad","BASE: Banco Cucina","BASE: Mesa de cocina","BASE : Établi de cuisine","基础：厨房工作台","ベース：キッチン作業台","BASE: Bancada de cozinha","基础：厨房工作台"
"STR_TheHive_CS_LB_Bench_BASE_desc","Classe base della gerarchia del Cookench","Base class of the Cookbench hierarchy.","Základní třída hierarchie kuchyňského pracovního stolu.","Basisklasse der Cookbench-Hierarchie.","Базовый класс иерархии кухонного верстака.","Klasa bazowa hierarchii stołu kuchennego.","A konyhai munkapad hierarchiájának alaposztálya.","Classe base della gerarchia del Cookench","Clase base de la jerarquía de la mesa de cocina.","Classe de base de la hiérarchie de l'établi de cuisine.","厨房工作台层级结构的基础类。","キッチン作業台階層のベースクラス。","Classe base da hierarquia da bancada de cozinha.","厨房工作台层级结构的基础类。"
"STR_TheHive_CS_LB_Bench_Modular","Tavolo da Cucina Modulare","Modular Kitchen Workbench","Modulární kuchyňský pracovní stůl","Modulare Küchenwerkbank","Модульный кухонный верстак","Modułowy stół kuchenny","Moduláris konyhai munkapad","Tavolo da Cucina Modulare","Mesa de cocina modular","Établi de cuisine modulaire","模块化厨房工作台","モジュール式キッチン作業台","Bancada de cozinha modular","模块化厨房工作台"
"STR_TheHive_CS_LB_Bench_Modular_desc","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro.","A workbench used to prepare food, alcoholic beverages and... other things.","Pracovní stůl používaný k přípravě jídla, alkoholických nápojů a... dalších věcí.","Eine Werkbank zur Herstellung von Lebensmitteln, alkoholischen Getränken und ... anderen Dingen.","Рабочий стол, используемый для приготовления еды, алкогольных напитков и... кое-чего ещё.","Stół roboczy używany do przygotowywania żywności, napojów alkoholowych i... innych rzeczy.","Munkapad ételek, alkoholos italok és... egyéb dolgok elkészítéséhez.","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro.","Una mesa de trabajo utilizada para preparar alimentos, bebidas alcohólicas y... otras cosas.","Un établi utilisé pour préparer des aliments, des boissons alcoolisées et... d'autres choses.","用于制作食物、酒精饮料以及……其他东西的工作台。","食料、酒類、そして……その他のものを作るための作業台。","Uma bancada usada para preparar alimentos, bebidas alcoólicas e... outras coisas.","用于制作食物、酒精饮料以及……其他东西的工作台。"
"STR_TheHive_CS_LB_Bench_Locked","Tavolo da Cucina Bloccato","Locked Kitchen Workbench","Uzamčený kuchyňský pracovní stůl","Gesperrte Küchenwerkbank","Заблокированный кухонный верстак","Zablokowany stół kuchenny","Lezárt konyhai munkapad","Tavolo da Cucina Bloccato","Mesa de cocina bloqueada","Établi de cuisine verrouillé","固定厨房工作台","固定式キッチン作業台","Bancada de cozinha bloqueada","固定厨房工作台"
"STR_TheHive_CS_LB_Bench_Locked_desc","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro. NON E' POSSIBILE SMONTARLO.","A workbench used to prepare food, alcoholic beverages and... other things. IT CANNOT BE DISMANTLED.","Pracovní stůl používaný k přípravě jídla, alkoholických nápojů a... dalších věcí. NELZE JEJ ROZEBRAT.","Eine Werkbank zur Herstellung von Lebensmitteln, alkoholischen Getränken und ... anderen Dingen. SIE KANN NICHT ABGEBAUT WERDEN.","Рабочий стол, используемый для приготовления еды, алкогольных напитков и... кое-чего ещё. ЕГО НЕЛЬЗЯ РАЗОБРАТЬ.","Stół roboczy używany do przygotowywania żywności, napojów alkoholowych i... innych rzeczy. NIE MOŻNA GO ZDEMONTOWAĆ.","Munkapad ételek, alkoholos italok és... egyéb dolgok elkészítéséhez. NEM SZERELHETŐ SZÉT.","Un tavolo usato usato per la realizzazione di alimenti, alcoolici e ... altro. NON E' POSSIBILE SMONTARLO.","Una mesa de trabajo utilizada para preparar alimentos, bebidas alcohólicas y... otras cosas. NO SE PUEDE DESMONTAR.","Un établi utilisé pour préparer des aliments, des boissons alcoolisées et... d'autres choses. IL NE PEUT PAS ÊTRE DÉMONTÉ.","用于制作食物、酒精饮料以及……其他东西的工作台。无法拆卸。","食料、酒類、そして……その他のものを作るための作業台。解体することはできない。","Uma bancada usada para preparar alimentos, bebidas alcoólicas e... outras coisas. NÃO PODE SER DESMONTADA.","用于制作食物、酒精饮料以及……其他东西的工作台。无法拆卸。"
