"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"CRAFTINGREDIENTS_TEST","","","","","","","","","","","","","",""
"THEHIVE_WEAPONPACKS","","","","","","","","","","","","","",""
"STR_THEHIVE_WEAPON_PACKAGE","Componenti","Weapon Components","Součásti zbraně","Waffenkomponenten","Компоненты оружия","Komponenty broni","Fegyveralkatrészek","Componenti","Componentes de armas","Composants d'arme","武器组件","武器部品","Componentes de armas","武器组件"
"STR_THEHIVE_WEAPON_PACKAGE_SKS","Componenti - #STR_cfgWeapons_SKS0","Weapon Components - #STR_cfgWeapons_SKS0","Součásti zbraně - #STR_cfgWeapons_SKS0","Waffenkomponenten - #STR_cfgWeapons_SKS0","Компоненты оружия - #STR_cfgWeapons_SKS0","Komponenty broni - #STR_cfgWeapons_SKS0","Fegyveralkatrészek - #STR_cfgWeapons_SKS0","Componenti - #STR_cfgWeapons_SKS0","Componentes de armas - #STR_cfgWeapons_SKS0","Composants d'arme - #STR_cfgWeapons_SKS0","武器组件 - #STR_cfgWeapons_SKS0","武器部品 - #STR_cfgWeapons_SKS0","Componentes de armas - #STR_cfgWeapons_SKS0","武器组件 - #STR_cfgWeapons_SKS0"
"STR_THEHIVE_WEAPON_PACKAGE_SCOUT","Componenti - #STR_cfgWeapons_Scout0","Weapon Components - #STR_cfgWeapons_Scout0","Součásti zbraně - #STR_cfgWeapons_Scout0","Waffenkomponenten - #STR_cfgWeapons_Scout0","Компоненты оружия - #STR_cfgWeapons_Scout0","Komponenty broni - #STR_cfgWeapons_Scout0","Fegyveralkatrészek - #STR_cfgWeapons_Scout0","Componenti - #STR_cfgWeapons_Scout0","Componentes de armas - #STR_cfgWeapons_Scout0","Composants d'arme - #STR_cfgWeapons_Scout0","武器组件 - #STR_cfgWeapons_Scout0","武器部品 - #STR_cfgWeapons_Scout0","Componentes de armas - #STR_cfgWeapons_Scout0","武器组件 - #STR_cfgWeapons_Scout0"
"STR_THEHIVE_WEAPON_PACKAGE_AUG","Componenti - #STR_cfgWeapons_AugSteyr0","Weapon Components - #STR_cfgWeapons_AugSteyr0","Součásti zbraně - #STR_cfgWeapons_AugSteyr0","Waffenkomponenten - #STR_cfgWeapons_AugSteyr0","Компоненты оружия - #STR_cfgWeapons_AugSteyr0","Komponenty broni - #STR_cfgWeapons_AugSteyr0","Fegyveralkatrészek - #STR_cfgWeapons_AugSteyr0","Componenti - #STR_cfgWeapons_AugSteyr0","Componentes de armas - #STR_cfgWeapons_AugSteyr0","Composants d'arme - #STR_cfgWeapons_AugSteyr0","武器组件 - #STR_cfgWeapons_AugSteyr0","武器部品 - #STR_cfgWeapons_AugSteyr0","Componentes de armas - #STR_cfgWeapons_AugSteyr0","武器组件 - #STR_cfgWeapons_AugSteyr0"
"STR_THEHIVE_WEAPON_PACKAGE_AUGX","Componenti - #STR_cfgWeapons_AugSteyr_Short0","Weapon Components - #STR_cfgWeapons_AugSteyr_Short0","Součásti zbraně - #STR_cfgWeapons_AugSteyr_Short0","Waffenkomponenten - #STR_cfgWeapons_AugSteyr_Short0","Компоненты оружия - #STR_cfgWeapons_AugSteyr_Short0","Komponenty broni - #STR_cfgWeapons_AugSteyr_Short0","Fegyveralkatrészek - #STR_cfgWeapons_AugSteyr_Short0","Componenti - #STR_cfgWeapons_AugSteyr_Short0","Componentes de armas - #STR_cfgWeapons_AugSteyr_Short0","Composants d'arme - #STR_cfgWeapons_AugSteyr_Short0","武器组件 - #STR_cfgWeapons_AugSteyr_Short0","武器部品 - #STR_cfgWeapons_AugSteyr_Short0","Componentes de armas - #STR_cfgWeapons_AugSteyr_Short0","武器组件 - #STR_cfgWeapons_AugSteyr_Short0"
"STR_THEHIVE_WEAPON_PACKAGE_FAMAS","Componenti - #STR_CfgWeapons_FAMAS0","Weapon Components - #STR_CfgWeapons_FAMAS0","Součásti zbraně - #STR_CfgWeapons_FAMAS0","Waffenkomponenten - #STR_CfgWeapons_FAMAS0","Компоненты оружия - #STR_CfgWeapons_FAMAS0","Komponenty broni - #STR_CfgWeapons_FAMAS0","Fegyveralkatrészek - #STR_CfgWeapons_FAMAS0","Componenti - #STR_CfgWeapons_FAMAS0","Componentes de armas - #STR_CfgWeapons_FAMAS0","Composants d'arme - #STR_CfgWeapons_FAMAS0","武器组件 - #STR_CfgWeapons_FAMAS0","武器部品 - #STR_CfgWeapons_FAMAS0","Componentes de armas - #STR_CfgWeapons_FAMAS0","武器组件 - #STR_CfgWeapons_FAMAS0"
"STR_THEHIVE_WEAPON_PACKAGE_FAL0","Componenti - #STR_cfgWeapons_FAL0","Weapon Components - #STR_cfgWeapons_FAL0","Součásti zbraně - #STR_cfgWeapons_FAL0","Waffenkomponenten - #STR_cfgWeapons_FAL0","Компоненты оружия - #STR_cfgWeapons_FAL0","Komponenty broni - #STR_cfgWeapons_FAL0","Fegyveralkatrészek - #STR_cfgWeapons_FAL0","Componenti - #STR_cfgWeapons_FAL0","Componentes de armas - #STR_cfgWeapons_FAL0","Composants d'arme - #STR_cfgWeapons_FAL0","武器组件 - #STR_cfgWeapons_FAL0","武器部品 - #STR_cfgWeapons_FAL0","Componentes de armas - #STR_cfgWeapons_FAL0","武器组件 - #STR_cfgWeapons_FAL0"
"STR_THEHIVE_WEAPON_PACKAGE_AKM","Componenti - #STR_cfgWeapons_AKM0","Weapon Components - #STR_cfgWeapons_AKM0","Součásti zbraně - #STR_cfgWeapons_AKM0","Waffenkomponenten - #STR_cfgWeapons_AKM0","Компоненты оружия - #STR_cfgWeapons_AKM0","Komponenty broni - #STR_cfgWeapons_AKM0","Fegyveralkatrészek - #STR_cfgWeapons_AKM0","Componenti - #STR_cfgWeapons_AKM0","Componentes de armas - #STR_cfgWeapons_AKM0","Composants d'arme - #STR_cfgWeapons_AKM0","武器组件 - #STR_cfgWeapons_AKM0","武器部品 - #STR_cfgWeapons_AKM0","Componentes de armas - #STR_cfgWeapons_AKM0","武器组件 - #STR_cfgWeapons_AKM0"
