"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"TheHive_zmWorkbench_Extension_TB_Script","","","","","","","","","","","","","",""
"STR_Slot_TH_TB_WoodenCase","Slot per Cassa di Legno","Wooden Crate Slot","Slot pro dřevěnou bednu","Holzkisten-Slot","Слот для деревянного ящика","Slot na drewnianą skrzynię","Faláda foglalat","Slot per Cassa di Legno","Ranura para caja de madera","Emplacement pour caisse en bois","木箱槽位","木箱スロット","Slot para caixa de madeira","木箱槽位"
"STR_Slot_TH_TB_Pliers","Slot per Pinze","Pliers Slot","Slot pro kleště","Klemmzangen-Slot","Слот для плоскогубцев","Gniazdo na wkręty","Csillagfoglalat","Slot per Pinze","Ranura para alicates","Emplacement pour pince","钳子槽位","クランプスロット","Slot para alicate","钳子槽位"
"TheHive_CS_TB_Script","","","","","","","","","","","","","",""
"STR_TheHive_CS_TB_Bench_BASE","BASE: Banco Tecnico","BASE: Technical Workbench","ZÁKLAD: Technický pracovní stůl","BASIS: Technische Werkbank","БАЗА: Технический верстак","BAZA: Stół warsztatowy","ALAP: Műszaki munkapad","BASE: Banco Tecnico","BASE: Banco técnico","BASE : Établi technique","基础：技术工作台","ベース：技術作業台","BASE: Bancada técnica","基础：技术工作台"
"STR_TheHive_CS_TB_Bench_BASE_desc","Classe base della gerarchia del Tecnicbench","Base class in the Technical Workbench hierarchy.","Základní třída hierarchie technického pracovního stolu.","Basisklasse der Hierarchie der technischen Werkbank.","Базовый класс иерархии технического верстака.","Klasa bazowa hierarchii stołu warsztatowego.","A műszaki munkapad hierarchiájának alaposztálya.","Classe base della gerarchia del Tecnicbench","Clase base de la jerarquía del banco técnico.","Classe de base de la hiérarchie de l"établi technique.","技术工作台层级结构的基础类。","技術作業台階層のベースクラス。","Classe base da hierarquia da bancada técnica.","技术工作台层级结构的基础类。"
"STR_AttachmentsProps_Power","Energia","Power","Napájení","Stromversorgung","Питание","Zasilanie","Energiaellátás","Energia","Energía","Alimentation","电源","電源","Energia","电源"
"STR_AttachmentsProps_Power_desc","Alloggiamento per Batterie","Battery compartment","Prostor pro baterie","Batteriefach","Отсек для батарей","Komora na akumulatory","Akkumulátorfoglalat":"Alloggiamento per Batterie":"Compartimento para baterías":"Compartiment à batteries":"电池仓":"バッテリー収納部":"Compartimento para baterias":"电池仓"
"STR_AttachmentsProps_Tools","Attrezzi","Tools","Nářadí","Werkzeuge","Инструменты","Narzędzia","Szerszámok","Attrezzi","Herramientas","Outils","工具","工具","Ferramentas","工具"
"STR_AttachmentsProps_Tools_desc","Cassetto per Attrezzi e materiali per il crafting","Drawer for tools and crafting materials.","Zásuvka na nářadí a výrobní materiály.","Schublade für Werkzeuge und Herstellungsmaterialien.","Ящик для инструментов и материалов для крафта.","Szuflada na narzędzia i materiały do wytwarzania.","Fiók szerszámok és alapanyagok számára.","Cassetto per Attrezzi e materiali per il crafting","Cajón para herramientas y materiales de fabricación.","Tiroir pour outils et matériaux de fabrication.","工具及制作材料抽屉。","工具とクラフト素材用の引き出し。","Gaveta para ferramentas e materiais de fabricação.","工具及制作材料抽屉。"
